id,logo,name,descrption,prix,id_restaurant
3553695,,3 Bibimbaps,Choisissez parmi nos quatre recettes,"30,00 €",47900
3537501,,Bibimbap Végétarien,Base riz blanc / riz sauvage / lentilles / quinoa / Courgettes / champignons / choux chinois / haricots verts / pousses de soja / sauce curry / salade mesclun / crumble ssamjang / petits pois wasabi / ssamjang,"10,00 €",47900
3537504,,Bibimbap Boeuf,Base riz blanc / riz sauvage / lentilles / quinoa / Boeuf / champignons / choux chinois / haricots verts / pousses de soja / sauce bulgogi / salade mesclun / ssamjang.,"11,50 €",47900
3537511,,Bibimbap Saumon,"Base riz blanc, riz sauvage, lentilles, quinoa, saumon, concombre, salade de saison, oignons grelots, œufs de poisson, petits pois wasabi, sauce piquillos et sauce ssamjang","13,50 €",47900
4085148,,Dessert Du Chef,"Tapioca coco, compotée de pamplemousse, crumble coco muscovado, coulis hibiscus","5,00 €",47900
3537523,,La Parisienne - Blonde,33 CL,"5,00 €",47900
3537527,,La Parisienne - Rousse,33 cl,"5,00 €",47900
3537537,,Evian,33 CL,"3,00 €",47900
3570482,, Coca Cola,33cl,"3,00 €",47900
3570487,,Coca Zero,33cl,"3,00 €",47900
3570493,,Orangina,33cl,"3,00 €",47900
3570498,,Nestea,33cl,"3,00 €",47900
3570503,,Badoit,50cl,"3,00 €",47900
3537548,,Pot De Ssamjam Maison,Sauce spéciale de Pierre Sang,"7,00 €",47900
3570515,,Livre BEST OF Signé Par Le Chef Pierre Sang,,"20,00 €",47900
3564787,,Jeu De Couverts,,"1,00 €",47900
1721951,http://cdn1.deliveroo.co.uk/media/menu_items/1721951/320x180.jpg?v=1497286905,Coffret 550ml,1 à 2 parfums au choix,"14,00 €",13846
1721955,http://cdn1.deliveroo.co.uk/media/menu_items/1721955/320x180.jpg?v=1496320849,Coffret 1100ml,de 1 à 3 parfums au choix,"25,00 €",13846
1406471,,4 cornets vides,,"1,00 €",13846
1406472,,4 petits pots vides,,"1,00 €",13846
1406491,http://cdn1.deliveroo.co.uk/media/menu_items/1406491/320x180.jpg?v=1496321386,Coppa Grande,de 1 à 3 parfums au choix,"6,90 €",13846
